(hello-world,0.0.2,2,0.044960028187118216),
(svelte,3.47.0,8,0.7974160444960227),
(react,18.0.0,780,0.9207700956691587),
(angular,1.8.2,236,0.6841721817111207),
(vue,3.2.31,253,0.8689296385832939),
(next.js,1.0.3,1,0.14524278244785552),
(nuxt.js,0.0.1,0,0.544574745265177),
(javascript,1.0.0,1,0.017431406659975952),
(kit,0.1.2,0,0.36571585422744374),
(lit,2.2.2,0,0.7897534350864137),
(solid,0.2.1,0,0.19159639061064604),
(alpine,0.2.1,1,0.23741620933237534),
(framework,0.6.0,0,0.4763937518595711),
(backbone,1.4.1,108,0.5900598178808836),
(meteor,2.7.2,50,0.29181261565545114),
(ractive,1.4.0,8,0.41419292014257636),
(vue,3.2.31,253,0.8689296385832939),
(svelte,3.47.0,8,0.7974160444960227),
(knockout,3.5.1,21,0.5472038047624377),
(spine,1.6.2,3,0.41565201919288797),
(espresso.js,1.1.0,0,0.6403474402581801),
(canjs,2.2.0,1,0.44945225285313817),
(hyperapp,2.0.21,7,0.7448581470743412),
(preact,10.7.1,37,0.8163041236920027),
(riot,6.1.2,27,0.7663563051908913),
(thorax,3.0.0-beta.5,1,0.37010956129273087),
(chaplin,1.2.0,0,0.3813245553905307),
(backbone.marionette,4.1.3,8,0.6408785398240306),
(ripple,0.1.2,1,0.2706938125231559),
(rivets,0.9.6,2,0.362749565132678),
(derby,1.0.1,9,0.5329769012329002),
(way.js,0.0.0,0,0.032825912338940264),
(jsblocks,0.1.0,0,0.032369310852265236),
(feathers,2.2.4,25,0.5001780611777549),
(atvjs,0.2.9,3,0.32527409641631133),
(alpine,0.2.1,1,0.23741620933237534),
(inferno,7.4.11,17,0.7327256321260223),
(lucia,0.6.4,0,0.6680982810864078),
(core,1.0.113,1,0.15635132136068794),
(grapesjs,0.18.3,5,0.7190177896203174),
(rete,1.4.7,0,0.7032973659559907),
(litegraph.js,0.7.10,0,0.4339823745325162),
(blockly,8.0.0,3,0.6286726300474528),
(million,1.8.0,0,0.6857957968091237),
(w2ui,1.5.3,0,0.5116671925158632),
(fluidity,0.2.3,0,0.30663508361584824),
(ink,3.2.0,9,0.642135252852357),
(underscore,1.13.2,574,0.8866813510603158),
(underscore,1.13.2,574,0.8866813510603158),
(underscore,1.13.2,574,0.8866813510603158),
(lodash,4.17.21,1546,0.7515141562201809),
(sugar,2.0.6,20,0.4791523199010681),
(rxjs,7.5.5,104,0.9270919600058098),
(kefir,3.8.8,4,0.562792484701887),
(highland,2.13.5,31,0.4734414603459781),
(most,1.9.0,14,0.5174859803279337),
(mobx,6.5.0,40,0.8141256704430022),
(cyclejs,0.26.0,6,0.04257830785838242),
(concent,2.17.6,0,0.7192112071225236),
(immutable-js,0.3.1-6,0,0.04314596614774664),
(mori,0.3.2,15,0.3756293603645451),
(buckets-js,1.98.2,2,0.6916607303594678),
(hashmap,2.4.0,14,0.7311650984508429),
(ngraph.graph,20.0.0,1,0.6713633044437679),
(moment,2.29.2,1031,0.7799877373661541),
(date,1.0.2,1,0.23605249469464334),
(date-fns,2.28.0,52,0.38786466950488024),
(dayjs,1.11.0,6,0.8212220331746073),
(luxon,2.3.1,14,0.822038566452516),
(countdown.js,0.0.6,0,0.2942441145020137),
